id,item_id,source,price,created_at,updated_at
02fad406-1cbe-412f-81ed-3490515c0246,af29564d-9cdc-4150-85f1-0961f1f538f3,Small Lab,23,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
04432fea-5e50-4ca1-a55c-85d7d82a1c12,a82642a2-842c-44fc-9b35-64aacea47aa4,Large Lab,4.29,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
06346787-9ced-4478-8c2e-e096d17cfa4e,e368381f-213f-4f84-a5aa-04ced3802485,Walther,5,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
0915956e-c541-4bbe-8441-e0b7e88e2a60,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Bong Breaker,0.28,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
0bbb309d-61cc-4459-949e-ecd4f947580f,6bf182b9-5a5c-4b9b-a5a2-def933499940,Drug Store,2.25,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
0cdb409f-d663-4aef-98f6-8c9a942bd704,e368381f-213f-4f84-a5aa-04ced3802485,Eddie,5,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
0fd662b1-9ee5-496a-a9a4-e04de0d719b3,764e8e09-c264-42cf-900c-743df3f4d46f,Gas Station,0.67,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
15ab1306-b88d-40f6-b18f-2d240966c3bb,5e5eaccc-00a4-440f-ba95-4140ea0c6ea0,Eddie,4,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
18cc1786-95e2-4fd3-ab15-7e1b08859984,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Dubai Sativa,0.32,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
25bc0d67-8270-41ac-9baf-0e55b705db06,ae9cb95f-9099-4977-b3a7-c668bdfd4912,AK-420,0.33,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
2a3fc499-8095-4de2-92eb-1b3bd9d5eb29,af29564d-9cdc-4150-85f1-0961f1f538f3,Eddie,25,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
2f505748-0ea7-414a-b6b9-5538c9a617f7,be0b2be7-41f8-4232-805e-da24d108c293,Gas Station,0.25,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
3068c7e7-60d0-4186-bacf-cc2d5091ccb2,ae9cb95f-9099-4977-b3a7-c668bdfd4912,Ghetto Kush,0.61,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
30f85df0-7f8a-4ab3-b1ba-06e8e32f4abc,be0b2be7-41f8-4232-805e-da24d108c293,Local Shop,0.25,2025-03-30 22:15:29.907745,2025-03-30 22:15:29.907745
